region,state,share_coal,chg_coal,share_natgas,chg_natgas,share_nuclear,chg_nuclear,share_hydro,chg_hydro,share_windsolar,chg_windsolar
Midwest,Indiana,0.84534,-0.00833,0.08295,0.12436,0.00000,N/A,0.00322,-0.02527,0.03118,N/A
Midwest,Iowa,0.59333,-0.02487,0.02414,0.06169,0.07304,-0.02704,0.01545,-0.02415,0.28682,0.27750
Midwest,Kansas,0.57819,-0.01607,0.02921,-0.05313,0.17210,-0.01145,0.00033,-0.00343,0.21808,N/A
Midwest,Michigan,0.49524,-0.01978,0.11724,-0.00224,0.29252,0.03480,0.01498,0.00640,0.03621,N/A
Midwest,Minnesota,0.49048,-0.02058,0.06789,0.07520,0.22294,-0.00871,0.00962,-0.04417,0.17007,0.23342
Midwest,Missouri,0.82438,0.00027,0.04604,0.01271,0.10561,-0.01500,0.00794,0.00097,0.01298,N/A
Midwest,Nebraska,0.63204,-0.00023,0.01029,-0.02887,0.25619,-0.01036,0.02936,-0.03941,0.06941,N/A
Midwest,North Dakota,0.75129,-0.01500,0.00643,0.38587,0.00000,N/A,0.06942,0.00170,0.17010,N/A
Midwest,Ohio,0.66836,-0.01860,0.17577,0.28017,0.12110,0.00521,0.00355,-0.00681,0.00898,N/A
Midwest,South Dakota,0.24458,-0.03071,0.04227,0.03333,0.00000,N/A,0.50005,-0.01167,0.21248,N/A
Midwest,Wisconsin,0.61327,-0.01033,0.13188,0.09396,0.15471,-0.01567,0.04048,0.01406,0.02652,0.58237
Midwest,All,0.60834,-0.01290,0.07420,0.05771,0.20834,0.00254,0.01710,-0.00476,0.07273,0.35505
West,Alaska,0.09239,0.00389,0.54412,-0.01216,0.00000,N/A,0.25464,0.03250,0.02515,N/A
West,Arizona,0.38006,-0.01368,0.24267,0.06675,0.28792,-0.01476,0.05450,-0.03813,0.03215,N/A
West,California,0.00405,-0.07105,0.60574,0.01437,0.08544,-0.04439,0.08315,-0.05524,0.11531,0.13624
West,Colorado,0.60439,-0.01993,0.22199,0.02273,0.00000,N/A,0.03287,-0.00014,0.14154,N/A
West,Hawaii,0.14809,-0.00044,0.00000,N/A,0.00000,N/A,0.00922,-0.00410,0.06055,0.30265
West,Idaho,0.00512,-0.01055,0.16810,0.14547,0.00000,N/A,0.59286,-0.03096,0.18478,N/A
West,Montana,0.51489,-0.01232,0.01704,0.22397,0.00000,N/A,0.37950,0.00302,0.06523,N/A
West,Nevada,0.18188,-0.07399,0.63781,0.04233,0.00000,N/A,0.06636,-0.00223,0.03649,N/A
West,New Mexico,0.63008,-0.02151,0.27783,0.05217,0.00000,N/A,0.00305,-0.05272,0.08636,N/A
West,Oregon,0.05310,-0.02288,0.21123,0.01324,0.00000,N/A,0.58653,-0.01608,0.12607,0.39988
West,Utah,0.76229,-0.01502,0.19131,0.15874,0.00000,N/A,0.01445,-0.02425,0.01512,N/A
West,Washington,0.05776,-0.02904,0.09506,0.02092,0.08164,0.00190,0.68306,-0.00585,0.06248,N/A
West,Wyoming,0.87348,-0.00656,0.01121,-0.00396,0.00000,N/A,0.01748,-0.01700,0.08865,0.22308
West,All,0.27109,-0.01479,0.30151,0.02128,0.07688,-0.02185,0.21606,-0.01634,0.08332,0.21154
United States,All,0.38639,-0.02061,0.27521,0.04040,0.19473,-0.00130,0.06336,-0.00956,0.04870,0.28359
